index,NMId,ObsRPShape,Poros,Darcy,ConcIn,PvIn,pH,IonStr,SaltType,ColumnLWRatio,PartDensity,PartIEP,pHIEPDist,PartZeta,CollecZeta,PartDiam,CollecDiam,PartCollSizeRatio,Coating,ConcHA,TypeNOM,Hamaker,Dispersivity,NanoSize,mbEffluent,mbRetained,mbEffluent_norm,mbRetained_norm
105,ZnO,HE,0.42,9.26E-05,0.005,3,8,20,NaCl,5,5610,9.4,-1.4,-15.3,-60.3,6.03E-07,0.00051,0.00118,None,0,None,,,0,0.301,0.755,0.285037879,0.714962121
106,ZnO,HE,0.42,9.26E-05,0.005,3,8,20,NaCl,5,5610,9.4,-1.4,-21.3,-60.3,3.14E-07,0.00051,0.000616,None,0.001,SRHA,,,0,0.775,0.201,0.794057377,0.205942623
107,ZnO,HE,0.42,9.26E-05,0.005,3,8,20,NaCl,5,5610,9.4,-1.4,-19.7,-60.3,3.21E-07,0.00051,0.00063,None,0.001,Alg,,,0,0.609,0.249,0.70979021,0.29020979
108,ZnO,HE,0.42,9.26E-05,0.005,3,8,5,NaCl,5,5610,9.4,-1.4,-25.3,-67.6,4.83E-07,0.00051,0.000947,None,0,None,,,0,0.13,0.854,0.132113821,0.867886179
109,ZnO,EXP,0.42,9.26E-05,0.005,3,8,5,NaCl,5,5610,9.4,-1.4,-34.8,-67.6,2.89E-07,0.00051,0.000567,None,0.001,SRHA,,,0,0.671,0.275,0.709302326,0.290697674
110,ZnO,HE,0.42,9.26E-05,0.005,3,8,5,NaCl,5,5610,9.4,-1.4,-31.8,-67.6,3.02E-07,0.00051,0.000593,None,0.001,Alg,,,0,0.311,0.586,0.34671126,0.65328874
111,CuO,SIR,0.44,0.000261,0.00962,6,6.55,0,NaCl,20,8940,10,-3.45,-4.14,-58,3.00E-07,0.000256,0.00117,None,0.001,TRIZMA,,,0,,,,
112,CuO,HE,0.44,0.000261,0.00865,6,8.61,100,NaCl,20,8940,10,-1.39,-36.6,-41,3.00E-07,0.000256,0.00117,None,0.001,TRIZMA,,,0,,,,
113,CuO,HE,0.44,0.000261,0.00857,6,8.57,0,NaCl,20,8940,10,-1.43,-16.3,-50,3.00E-07,0.000256,0.00117,None,0.001,TRIZMA,,,0,,,,
114,CuO,EXP,0.44,0.000261,0.00432,6,6.44,0,NaCl,20,8940,10,-3.56,-26.5,-38,3.00E-07,0.000256,0.00117,None,0.01,SRHA,,,0,,,,
